reply_to_status_id,sentiment_score,parent_sentiment,agreement_score
x1073521731099189248,0.25,-0.4404,-0.1904
x1073536830283440128,0.8047,0.0,0.8047
x1073538100759015424,0.0516,0.0,0.0516
x1073545640020455425,0.0,0.0,0.0
x1073550684484788224,0.2815,0.0,0.2815
x1073564513142784005,0.521675,0.128,0.649675
x1073569545665765376,0.27209999999999995,-0.6486,-0.3765
x1073590952038686720,0.2732,-0.4019,-0.12869999999999998
x1073599744855859200,0.0193,0.6808,0.7001
x1073636244029095936,0.0,-0.3612,-0.3612
x1073646373243883521,-0.6486,-0.7303,-1.3788999999999998
x1073658909397794817,-0.4767,-0.34,-0.8167
x1073669098792517632,0.6597,-0.4019,0.2578
x1073681537139384321,-0.3612,-0.3612,-0.7224
x1073685309278310400,-0.5423,0.128,-0.4143
x1073694119854252033,0.0,-0.8885,-0.8885
x1073696636117897219,0.09360000000000002,-0.4939,-0.4003
x1073704193142202368,0.0,0.0,0.0
x1073716771184697344,-0.05135,-0.7184,-0.76975
x1073719374505304064,-0.4393,-0.5574,-0.9967
x1073724317307990016,0.064,0.7184,0.7824
x1073731866853806080,0.06008571428571428,0.5267,0.5867857142857142
x1073741305195294720,-0.29600000000000004,0.3612,0.06519999999999998
x1073754517026627584,-0.4767,0.8658,0.3891
x1073779687242039296,-0.743,0.128,-0.615
x1073794780650528768,-0.5014,0.0,-0.5014
x1073809883735175168,0.0,0.0,0.0
x1073811140902174721,0.0086,-0.6486,-0.6399999999999999
x1073820052846272512,-0.08360000000000001,-0.128,-0.2116
x1073824980851408896,0.0,0.7269,0.7269
x1073830015605923841,0.4215,-0.5994,-0.17790000000000006
x1073837562576470016,-0.3412,0.0,-0.3412
x1073858486042324992,0.21075,-0.25,-0.03925000000000001
x1073867763477811200,0.0,0.3818,0.3818
x1073872811461095425,0.08484285714285715,0.29600000000000004,0.3808428571428572
x1073896701746794497,0.0,0.0,0.0
x1073897962189787136,0.5719,0.0,0.5719
x1073905511983124480,0.4404,0.0,0.4404
x1073925764981100544,-0.08895,-0.765,-0.85395
x1073945786113843200,-0.88375,-0.836,-1.71975
x1073990819693150209,0.0,-0.4939,-0.4939
x1074012075385634819,0.0,-0.6697,-0.6697
x1074020983059767297,-0.7579,0.0,-0.7579
x1074043341665419264,0.0742,0.0,0.0742
x1074044738565738500,0.12549999999999997,-0.2732,-0.14770000000000003
x1074049062478012416,-0.24392,0.1531,-0.09081999999999998
x1074119422422540289,0.4939,-0.2263,0.2676
x1074144597981437952,0.3818,0.0,0.3818
x1074149619741966337,0.0,-0.1531,-0.1531
x1074152138757033984,0.5574,0.0,0.5574
x1074177301531779073,0.7351,-0.29600000000000004,0.43909999999999993
x1074179039231827969,0.26335,-0.3182,-0.05485000000000001
x1074179817719951360,-0.7695,0.4019,-0.3676
x1074192401089073152,-0.1779,-0.7964,-0.9742999999999999
x1074237700155301888,0.0,-0.5106,-0.5106
x1074250327476588545,0.0,-0.34,-0.34
x1074252799481921536,0.0,0.0,0.0
x1074257903664676864,0.0,0.0762,0.0762
x1074262871712911360,0.0,-0.0772,-0.0772
x1074270413918793728,0.1027,-0.7003,-0.5976
x1074273065536761856,-0.29600000000000004,-0.0387,-0.33470000000000005
x1074275450996838400,-0.25933333333333336,-0.1635,-0.4228333333333334
x1074288067786223623,0.4767,-0.8402,-0.36349999999999993
x1074291542813233152,-0.387325,0.0,-0.387325
x1074293062707363840,0.1806,-0.4215,-0.24089999999999998
x1074298098703314944,0.5859,0.0516,0.6375
x1074300864502861830,-0.5267,-0.3182,-0.8449
x1074319924707950592,-0.4939,-0.4019,-0.8957999999999999
x1074361514096644096,0.11090000000000001,-0.3182,-0.20729999999999998
x1074365116253122560,0.0,-0.8225,-0.8225
x1074381008064184321,-0.0399,-0.1027,-0.1426
x1074386774141648896,0.6421,-0.2023,0.43979999999999997
x1074423781358215174,0.0,-0.4215,-0.4215
x1074459160341872642,0.6908,-0.5994,0.09139999999999993
x1074464196920795136,0.6369,0.0,0.6369
x1074469252176990210,0.3164,-0.3818,-0.06539999999999996
x1074496908301864960,0.4019,-0.4767,-0.07480000000000003
x1074504459521351681,-0.5216,-0.5423,-1.0638999999999998
x1074506990058176513,0.0,0.25,0.25
x1074525687141318657,0.0,0.0,0.0
x1074542206130839553,-0.0258,-0.7506,-0.7764000000000001
x1074552273630625793,0.5106,0.0,0.5106
x1074561133732712448,-0.1971,0.0,-0.1971
x1074592551276032005,0.0,0.0,0.0
x1074597636605440000,0.0,0.0,0.0
x1074615191437017089,0.4404,0.4767,0.9171
x1074642949085020160,0.3252,-0.25,0.07519999999999999
x1074665577359261696,0.1511,,
x1074680739524984837,0.4215,-0.1779,0.24359999999999998
x1074683138809454592,-0.3128,-0.5106,-0.8234000000000001
x1074707041514545152,-0.254,0.2023,-0.051699999999999996
x1074733511565828098,-0.4031,0.1779,-0.2252
x1074748705192984577,-0.5106,0.0,-0.5106
x1074758645248868352,0.0,-0.4215,-0.4215
x1074783797625978881,-0.2275,-0.4939,-0.7214
x1074784048524992512,-0.7717,0.7783,0.006599999999999939
x1074798898965815302,0.4019,0.4019,0.8038
x1074810221162348544,0.0,0.8765,0.8765
x1074811262695919616,0.5267,0.4926,1.0192999999999999
x1074811309877673984,-0.4019,0.5267,0.12479999999999997
x1074811356681973760,0.1027,-0.4019,-0.29919999999999997
x1074811390802616320,-0.5267,0.1027,-0.42399999999999993
x1074811724090376192,-0.34,-0.5267,-0.8667
x1074811768814194688,0.4404,-0.34,0.10039999999999999
x1074814003917045760,-0.1893,-0.128,-0.3173
x1074827836920340480,-0.5081,-0.5423,-1.0504
x1074827837025046529,0.0,0.2023,0.2023
x1074844448033361921,0.3629,0.7783,1.1412
x1074856780251971585,-0.258,0.4727,0.2147
x1074860552629948416,-0.2068625,-0.6486,-0.8554625
x1074864327906201601,0.04411428571428571,-0.5267,-0.48258571428571423
x1074876928967000065,-0.012825,0.8316,0.818775
x1074879431381004288,-0.5267,-0.0258,-0.5525
x1074885718382702592,0.5267,-0.5423,-0.015600000000000058
x1074899581740163072,0.6249,-0.6956,-0.07069999999999999
x1074902079213314048,0.0,-0.5719,-0.5719
x1074904596060037120,0.0,-0.4215,-0.4215
x1074917175738228736,0.2023,0.6249,0.8272
x1074922220386959360,-0.765,0.1779,-0.5871
x1074934791965954048,-0.4767,0.0,-0.4767
x1074942458436440064,0.9169,-0.7269,0.19000000000000006
x1074957443661209600,0.0938,-0.4588,-0.365
x1074960022797516803,0.4939,0.6597,1.1536
x1074970027227516928,-0.34,0.0,-0.34
x1074970527184244737,0.8622,-0.5574,0.30479999999999996
x1074979673736568833,0.1357,-0.5859,-0.4502
x1074990266426241025,-0.5859,0.25,-0.3359
x1074993931350290433,0.19595,-0.5719,-0.37594999999999995
x1074995193450033152,0.0,0.2263,0.2263
x1075007736469843968,-0.015676923076923074,0.0,-0.015676923076923074
x1075017841806639105,0.2156,0.0,0.2156
x1075030925468200962,0.0,-0.5574,-0.5574
x1075035585134452740,0.0,0.0,0.0
x1075036713490120704,0.0,0.0,0.0
x1075041243065835520,-0.16962000000000002,-0.5859,-0.75552
x1075053084563464193,-0.34,-0.5267,-0.8667
x1075055598616633344,-0.4588,0.0,-0.4588
x1075063139518111744,0.2553,0.6369,0.8922000000000001
x1075070703639126016,0.6124,-0.5267,0.08570000000000011
x1075093337701576705,-0.3182,-0.9153,-1.2335
x1075095877285543936,0.5563555555555556,0.0,0.5563555555555556
x1075111082690252800,-0.2482,-0.4939,-0.7421
x1075117244374487040,0.3935,0.0,0.3935
x1075129827483664385,0.20935,0.0,0.20935
x1075131091240009728,0.0,-0.9042,-0.9042
x1075133679633080321,0.0,0.0,0.0
x1075138639955410944,-0.5719,-0.3987,-0.9705999999999999
x1075161299892494337,-0.21075,0.0,-0.21075
x1075162039117537280,0.01006666666666666,-0.5859,-0.5758333333333333
x1075166321380335616,-0.321725,-0.5267,-0.848425
x1075175125664837634,-0.5023,-0.5719,-1.0741999999999998
x1075182561981169664,-0.0772,0.4926,0.4154
x1075182621280264192,-0.3818,-0.0772,-0.45899999999999996
x1075182660165595136,-0.3818,-0.3818,-0.7636
x1075182700258938880,0.2023,-0.3818,-0.17949999999999997
x1075182733905678337,-0.4939,0.2023,-0.29159999999999997
x1075183948437823488,0.3818,-0.3612,0.02059999999999995
x1075217907301240832,0.29600000000000004,0.0,0.29600000000000004
x1075240556836651008,0.466,0.0,0.466
x1075249365311283200,0.0,0.4588,0.4588
x1075251882396975104,0.1553,-0.2023,-0.047000000000000014
x1075272920820178945,0.6369,0.6369,1.2738
x1075282080035168256,0.2023,0.0,0.2023
x1075292149187530753,-0.11315,0.0,-0.11315
x1075292264421830656,-0.11874000000000003,-0.6249,-0.7436400000000001
x1075294667103789056,-0.4228,-0.5994,-1.0222
x1075324864544825344,0.5093,0.128,0.6373
x1075332413537116164,0.0,-0.5994,-0.5994
x1075334939959267329,-0.3612,0.4215,0.060299999999999965
x1075339963502354433,0.82275,0.0,0.82275
x1075345184949448704,0.0,0.0,0.0
x1075350029999648768,-0.3182,-0.8271,-1.1453
x1075372909328138240,-0.01935,-0.1477,-0.16705
x1075389035449864192,-0.14049999999999999,-0.872,-1.0125
x1075392811556659200,0.3612,0.0,0.3612
x1075404134436745216,0.0,0.4019,0.4019
x1075407912833552385,0.37145,-0.7096,-0.33815
x1075413073849143296,-0.8859999999999999,0.0,-0.8859999999999999
x1075414201538093056,-0.31155,0.2263,-0.08524999999999999
x1075417991922241536,0.0258,-0.4019,-0.3761
x1075419234157629440,0.0,-0.0572,-0.0572
x1075420681809133568,0.5719,-0.9565,-0.38460000000000005
x1075425548409679872,-0.9023,0.4939,-0.4084
x1075438109112836096,0.3612,0.0258,0.387
x1075483429372878848,-0.34,-0.5267,-0.8667
x1075488579495829505,-0.7948,0.0,-0.7948
x1075489698351439872,-0.11335714285714284,0.2263,0.11294285714285716
x1075490959033544707,0.743,-0.3182,0.4248
x1075494731470254091,-0.0752,-0.0572,-0.13240000000000002
x1075506064815198209,0.21075,0.08900000000000001,0.29975
x1075508574313422848,0.27813333333333334,0.0,0.27813333333333334
x1075516138602168320,0.1531,-0.1027,0.050400000000000014
x1075532496383533056,-0.775,0.4926,-0.28240000000000004
x1075532498661105664,0.1893,-0.775,-0.5857
x1075532500187803649,-0.6808,0.0,-0.6808
x1075532502133964800,-0.7717,-0.6808,-1.4525000000000001
x1075532503656484864,0.1027,-0.7717,-0.669
x1075532505749512192,-0.29600000000000004,0.1027,-0.19330000000000003
x1075533767857582080,-0.2732,0.2023,-0.07089999999999999
x1075538781305012224,0.0,-0.3818,-0.3818
x1075540033942151169,0.3297666666666667,-0.872,-0.5422333333333333
x1075543808044077056,0.7783,-0.765,0.013299999999999979
x1075546327168237568,0.1806,0.0,0.1806
x1075548853624074242,0.7777,-0.3612,0.4164999999999999
x1075550096526376965,-0.1806,0.2263,0.04569999999999999
x1075551357078331392,0.0,0.2263,0.2263
x1075556515145224198,-0.875,-0.765,-1.6400000000000001
x1075561420090167301,-0.5423,-0.6369,-1.1792
x1075570228644454400,0.2569666666666666,-0.0572,0.19976666666666662
x1075571614769655810,0.0772,0.4767,0.5539000000000001
x1075574005002846209,0.0,-0.25,-0.25
x1075576529550274560,0.7184,-0.4767,0.24170000000000003
x1075579060913401856,0.3724,-0.128,0.2444
x1075600427545182209,0.0,-0.1477,-0.1477
x1075610494050975744,0.07495,0.2263,0.30125
x1075615532466855936,-0.12164705882352941,-0.872,-0.9936470588235294
x1075616787465670656,-0.8723,-0.4404,-1.3127
x1075630626819239936,0.0,0.4019,0.4019
x1075634405438382080,-0.5423,0.4939,-0.0484
x1075645726527377408,0.29390000000000005,-0.0572,0.23670000000000005
x1075646999276503040,0.4404,0.0,0.4404
x1075652017228533760,-0.29600000000000004,-0.5267,-0.8227
x1075697330001715200,0.0,-0.5267,-0.5267
x1075708668971110400,0.26666666666666666,0.0258,0.29246666666666665
x1075730171544641537,0.31746666666666673,0.0,0.31746666666666673
x1075735066066776066,0.4807,0.0,0.4807
x1075745132425691138,0.3612,0.4215,0.7827
x1075787926544547841,0.0,-0.7096,-0.7096
x1075790580553342978,0.22172,-0.7003,-0.47858
x1075795463553589248,0.0258,0.0,0.0258
x1075830697846280192,-0.3161,-0.7184,-1.0345
x1075833232036413440,0.0,0.0,0.0
x1075848326103347200,-0.3382,-0.7003,-1.0385
x1075853349608718339,-0.7506,-0.6486,-1.3992
x1075860907870302213,0.1126,0.8442,0.9568
x1075888576280322049,0.23835,0.0,0.23835
x1075894868050935811,-0.6784,0.0772,-0.6012
x1075898928204152833,-0.026749999999999996,0.4926,0.46585
x1075899005538775041,-0.17770000000000002,-0.4939,-0.6716
x1075899069824790528,-0.1655,-0.2023,-0.3678
x1075899111197499392,0.0,-0.1655,-0.1655
x1075899157301186560,-0.7184,0.0,-0.7184
x1075906192965279745,0.4588,0.5267,0.9854999999999999
x1075917517279899653,0.0,0.5859,0.5859
x1075931359196123136,-0.3818,-0.29600000000000004,-0.6778
x1075938915129942016,-0.4019,-0.6705,-1.0724
x1075955265923678209,0.0,0.0772,0.0772
x1075976658631434240,0.3612,0.0,0.3612
x1075977915089674241,-0.14049999999999999,0.5859,0.4454
x1075979311105101824,-0.4767,0.0,-0.4767
x1075986761279508481,0.1154,-0.7906,-0.6752
x1075998047899811841,0.0,0.4588,0.4588
x1076013147239211008,0.3134,-0.4588,-0.14539999999999997
x1076015664056266753,0.0,0.0772,0.0772
x1076019440997883905,0.0,-0.6705,-0.6705
x1076038313058828289,0.0,0.5859,0.5859
x1076045862994890752,0.389425,-0.6908,-0.30137499999999995
x1076047135215362048,0.29245,-0.2263,0.06614999999999999
x1076073545409708032,-0.6486,-0.4588,-1.1074
x1076077346749321216,0.4019,-0.7269,-0.325
x1076102488837771264,0.0,0.3612,0.3612
x1076122677960757249,0.0,-0.1531,-0.1531
x1076133943320047617,0.0,-0.4588,-0.4588
x1076136459902451712,-0.0031999999999999806,-0.6908,-0.694
x1076142765765996544,-0.6119,0.0,-0.6119
x1076162896017715200,0.6486,-0.29600000000000004,0.3525999999999999
x1076195601526730753,-0.24915000000000004,-0.5106,-0.7597500000000001
x1076200698021404673,0.8516,-0.4019,0.44970000000000004
x1076211957630423043,-0.4897666666666667,-0.6908,-1.1805666666666665
x1076233366092042242,-0.3818,0.4215,0.03970000000000001
x1076238395821752320,0.1027,0.1779,0.2806
x1076258540770246656,-0.4767,-0.4215,-0.8982
x1076269754502074369,-0.12156666666666667,-0.128,-0.24956666666666666
x1076283682183397395,-0.09928,-0.6705,-0.76978
x1076289971429011456,-0.009500000000000008,-0.5267,-0.5362
x1076298780943794176,-0.34800000000000003,0.0,-0.34800000000000003
x1076301297530355712,-0.937,0.0,-0.937
x1076328980926603264,-0.3708,0.0,-0.3708
x1076339044878086144,-0.18463333333333334,-0.4215,-0.6061333333333333
x1076344077480808448,-0.07950000000000002,-0.3612,-0.44070000000000004
x1076345335914553344,0.6174,0.6908,1.3081999999999998
x1076350369352110080,0.36819999999999997,-0.6249,-0.25670000000000004
x1076366729385857024,-0.11479285714285714,0.0,-0.11479285714285714
x1076369247088111616,-0.53255,0.0,-0.53255
x1076376796898250752,0.9371,0.0772,1.0143
x1076379313451216896,0.0,-0.29600000000000004,-0.29600000000000004
x1076396929867759617,-0.1531,0.1779,0.02479999999999999
x1076410767618887680,-0.4384333333333334,-0.5267,-0.9651333333333334
x1076415533245960192,0.4926,0.0,0.4926
x1076422092743233541,0.3601,-0.2023,0.15779999999999997
x1076455316810797056,-0.5949,-0.3612,-0.9561
x1076533918717919232,0.7761,0.1531,0.9292
x1076545907561283584,-0.1597375,-0.5423,-0.7020375
x1076546505086025728,0.02053333333333333,0.0,0.02053333333333333
x1076614336540565504,0.4019,0.0,0.4019
x1076648587562504193,0.4939,-0.29600000000000004,0.19789999999999996
x1076666210002128897,0.42655,0.0,0.42655
x1076668726492233728,-0.2023,-0.6124,-0.8147000000000001
x1076701432324243456,-0.3442,-0.2263,-0.5705
x1076716532338700288,0.15556666666666666,-0.6597,-0.5041333333333333
x1076746733047173120,0.5267,-0.778,-0.2513000000000001
x1076784482634661888,-0.0682,0.0,-0.0682
x1076792033455558656,-0.12313333333333333,0.743,0.6198666666666667
x1076799582615547904,0.0,-0.34,-0.34
x1076804613968486400,0.5574,-0.3612,0.19619999999999999
x1076817198243594240,0.0,0.0,0.0
x1076832339693629440,-0.3595,-0.7469,-1.1064
x1076842368282910720,-0.4588,-0.743,-1.2018
x1076844881186906112,0.0,-0.7964,-0.7964
x1076849911382114305,0.38425000000000004,0.4404,0.8246500000000001
x1076855138319503360,0.6705,0.0,0.6705
x1076920376175796225,-0.21075,-0.4019,-0.6126499999999999
x1076940508402982914,0.0,0.1027,0.1027
x1076949393549479936,-0.191,-0.34,-0.531
x1076958127667507200,0.4019,-0.5994,-0.19750000000000006
x1076965679948070912,-0.7579,-0.4767,-1.2346
x1076983320167235585,-0.63,-0.1027,-0.7327
x1077010974295683072,-0.29600000000000004,0.0258,-0.27020000000000005
x1077016005866672128,0.4446,-0.4215,0.02310000000000001
x1077021186448596993,-0.17765,0.5574,0.37975000000000003
x1077036223619874816,-0.22575,0.0,-0.22575
x1077078928525803521,0.4215,0.0772,0.4987
x1077094019472244736,0.0,-0.4939,-0.4939
x1077116672425820160,0.6588,0.1082,0.767
x1077131768459902976,-0.5212818181818183,0.0,-0.5212818181818183
x1077159453936488449,-0.9153,-0.0516,-0.9669
x1077202408894353408,0.3147,0.0,0.3147
x1077217465803960320,0.12996666666666667,-0.4404,-0.31043333333333334
x1077221107139268608,0.0,0.0,0.0
x1077222367460540416,0.6476,0.3182,0.9658
x1077238723203514368,-0.7717,0.2023,-0.5694
x1077240106375958528,-0.08976666666666666,-0.2263,-0.31606666666666666
